issue_num,issue_title,option_num,option_text,Civil Rights,Economy,Political Freedom,Wealth Gaps,Death Rate,Compassion,Eco-Friendliness,Social Conservatism,Nudity,Industry: Automobile Manufacturing,Industry: Cheese Exports,Industry: Basket Weaving,Industry: Information Technology,Industry: Pizza Delivery,Industry: Trout Fishing,Industry: Arms Manufacturing,Sector: Agriculture,Industry: Beverage Sales,Industry: Timber Woodchipping,Industry: Mining,Industry: Insurance,Industry: Furniture Restoration,Industry: Retail,Industry: Book Publishing,Industry: Gambling,Sector: Manufacturing,Government Size,Welfare,Public Healthcare,Law Enforcement,Business Subsidization,Religiousness,Income Equality,Niceness,Rudeness,Intelligence,Ignorance,Political Apathy,Health,Cheerfulness,Weather,Compliance,Safety,Lifespan,Ideological Radicality,Defense Forces,Pacifism,Economic Freedom,Taxation,Freedom From Taxation,Corruption,Integrity,Authoritarianism,Employment,Public Transport,Tourism,Weaponization,Recreational Drug Use,Obesity,Secularism,Environmental Beauty,Charmlessness,Averageness,Human Development Index,Primitiveness,Scientific Advancement,Inclusiveness,Average Income,Average Income of Poor,Average Income of Rich,Public Education,Crime,Foreign Aid,Average Disposable Income,Patriotism,Food Quality,Accessibility,Youth Rebelliousness,Culture,policy_adds,policy_removes,policy_sometimes_adds,policy_sometimes_removes,notability_adds,notability_removes,notability_sometimes_adds,notability_sometimes_removes
3,#3 Harry Potter Censorship Row,2,3/4. the latest Harry Potter book is a bestseller,3.7409,0.0013,-0.0,0.0012,-0.0895,0.0004,-4.1673,-3.4987,7.1798,-16.7847,-17.0735,-22.0044,47.9945,-56.6479,-25.7427,-22.6674,-17.2927,-13.1069,-17.659,-19.7041,-18.2728,-17.1504,-19.2295,774.7813,-128.6415,-61.4563,0.1376,-13.0828,-11.3348,-12.0268,-6.0946,-5.0312,-0.0024,0.0004,0.0009,2.611,-2.7253,0.0003,0.002,0.0001,-0.9944,0.4163,1.2355,0.0266,-0.3495,-13.1639,-1.5116,0.0017,0.091,-0.5192,0.002,-0.0001,-124.0581,0.0318,-6.4678,11.9503,0.0037,4.8311,-0.0083,0.0822,-0.1096,-0.5481,0.3495,0.429,-5.0344,4.8557,-0.0005,472.2991,227.1654,1043.2199,288.163,-0.322,-2.7642,295.1558,-0.112,0.0214,1.4603,-0.0001,0.0001,,,,,,,absence of drug laws,complete lack of public education may add or remove notability: punitive income tax rates|restrictive gun laws
4,#4 Economic Collapse Looms!,1,1. all industry is owned and run by the government,,-4.6673,,-3.5268,-5.0061,0.0033,392.7384,,,-166.5867,-216.3055,-298.2618,-214.8243,-136.3752,-240.1986,-162.625,-181.5943,-145.0536,-240.6839,-198.1423,-158.8019,-255.3479,-87.7897,-228.0404,-276.8574,-626.2568,0.956,114.7555,178.7774,190.1584,286.7127,7.9505,23.3246,0.0039,-10.6955,0.1971,-0.2196,,-0.0009,,,2.3822,1.5635,1.2568,3.8741,160.3272,1.3174,-112.3172,6.0514,-21.9372,,,645.3682,7.7927,167.0462,39.7212,-0.0949,0.0004,-0.3051,-0.0729,47.0343,-5.1126,-3.8741,-0.5374,-3.0403,-0.8057,0.6467,-1275.2414,29128.2785,-97438.9132,162.123,-0.5438,144.8917,-6413.3954,0.1695,-1.9811,0.705,,,Socialism,Capitalism,AI Planning,,state-planned economy,,devotion to social welfare may add or remove notability: hatred of cheese|punitive income tax rates|soft-spoken computers|stringent health and safety legislation,"barren, inhospitable landscape|complete absence of social welfare|complete lack of public education"
4,#4 Economic Collapse Looms!,2,2/3. the government is attempting to revitalize a gutted private sector,-0.0001,7.9034,-0.0163,5.1228,2.0034,,31.5533,0.0,,116.4756,144.9819,136.8996,77.2583,127.2943,308.3405,-41.9863,123.85,79.2051,87.5294,14.3164,141.5833,126.9631,-26.55,163.4143,100.6904,211.0194,,144.8888,57.0872,24.7215,-96.8231,0.152,-10.3984,,13.5189,0.0627,-0.0441,,-0.0013,,-0.007,-0.7657,-2.3328,-0.4508,-2.7586,46.0346,-0.7529,14.1443,-1.2673,3.7767,-0.0028,0.0011,-530.0489,3.2758,62.6835,-4.2201,0.0215,-0.107,0.4141,-0.0007,-0.545,0.4108,2.7586,1.5977,0.0943,1.461,-0.0026,2783.7157,-7036.2512,45199.1516,85.6332,0.2141,50.9759,2764.9368,,2.5389,-36.1459,,,,,,,,stringent health and safety legislation,"barren, inhospitable landscape|exploding hoverboards|spontaneously combusting cars",hatred of cheese|punitive income tax rates
5,#5 Child Casino Shock,1,1. gambling is outlawed,0.0017,-8.7514,-0.0031,-2.7003,-0.3563,1.009,-14.2116,-0.0011,-0.0074,-114.7293,-113.8586,-131.8473,-121.3403,3.7907,-185.5439,-158.4409,-104.1033,-72.1112,-100.9152,-97.8331,-127.0516,-102.9274,-86.3388,-135.2289,-2357.2228,-404.9834,0.0002,-87.9992,-55.7348,-54.9231,5.4597,-0.0033,8.4575,0.8333,-6.1467,0.0008,-0.0012,0.0006,0.0012,,0.0019,1.1105,4.3686,-0.2109,0.3001,-71.5929,3.2455,-9.7104,1.4126,-3.9965,0.001,-0.0002,219.4572,-2.4953,-37.8327,19.9881,-0.0518,0.5053,-0.4381,0.0008,0.0024,-1.5667,-0.3001,-1.8723,-0.0011,-0.0003,0.0052,-5293.5608,2295.9209,-31526.8569,-74.5014,-1.0249,-19.3194,-4915.0199,-0.0009,-2.8652,9.1134,-0.0008,,No Gambling,,,,,,punitive income tax rates|stringent health and safety legislation,exploding hoverboards|spontaneously combusting cars
5,#5 Child Casino Shock,2,2. young children are regularly seen wagering pocket money at blackjack tables,0.0018,4.2487,-0.0125,2.2084,0.101,-0.9902,27.3834,-0.0026,0.0078,5.2271,14.7393,12.4493,-2.8696,-49.8687,83.1174,46.2859,5.6802,-5.9306,-0.1991,-16.0648,15.7729,-0.8203,-29.5584,11.8158,3032.38,63.9384,0.0003,72.0069,44.5563,43.7134,-4.8096,0.0477,-4.913,-0.8742,3.5701,-0.0015,0.0054,-0.0019,0.0007,,-0.0023,-0.7141,-2.1002,0.2689,-0.0995,45.836,-2.1661,5.1021,-1.2249,3.359,0.0039,0.0014,-141.9386,1.061,38.2721,-9.1465,0.0435,-0.2359,0.1513,0.0013,0.0084,1.1797,0.0995,1.0219,-0.0137,0.0025,,4046.3672,-257.9013,20915.6287,52.7154,0.5061,29.3896,3392.9864,0.0019,1.44,-5.3807,,,,No Gambling,,,,,spontaneously combusting cars,punitive income tax rates|stringent health and safety legislation
6,#6 Appointment of Spiritual Advisor,1,1. the government is seen to favor traditionalist religions,0.0155,-0.0038,,0.009,-0.0046,-0.0003,-1.3072,-0.0139,0.0557,-5.0939,-3.8567,-5.312,-5.1008,-32.4079,-6.0356,-5.3387,-3.8111,-3.0704,-4.8211,-5.1571,-4.0258,-4.1448,-4.0904,-4.6582,-3.6614,-15.7441,0.1517,-3.0532,-3.2991,-4.7694,-2.0828,185.8968,-0.0104,-0.0004,-0.0002,0.0031,-0.0038,0.0011,-0.0004,,0.0044,-0.0014,-0.0039,-0.002,-0.0001,-4.2014,-0.0477,-0.0005,0.5478,-1.3362,-0.0,0.0,-1.0568,-0.0112,-2.0897,0.0272,0.0006,-0.6695,-0.0071,-0.9554,0.0516,0.0025,0.0001,-0.0012,0.0148,-0.0243,-3.1325,157.0369,65.178,418.4967,-3.9216,0.0013,-0.9907,-214.092,-0.0017,-1.032,-1.6544,,,,,,,,,punitive income tax rates,
6,#6 Appointment of Spiritual Advisor,2,2. the government's religious works are headed by a New Age guru,1.327,-0.0028,-0.0073,-0.0029,0.0095,0.0003,-0.9699,-1.3483,2.4566,-1.5965,-1.7765,-2.4075,-2.1428,-1.9978,-3.6375,-3.7387,-1.7328,-1.4945,-2.1448,-2.467,-1.6932,-1.7583,-2.2511,-2.1908,1.2114,-7.7433,0.0707,-2.107,-1.9715,-2.2708,-1.3346,90.6355,0.0021,0.0002,-0.01,0.2427,-0.2521,0.0004,0.0008,,0.0,-0.0345,-0.0598,-0.0069,0.0289,-1.9345,-0.7358,-0.0037,0.2348,-0.6569,-0.0017,-0.0,-43.0609,-0.0284,-1.1246,-1.3686,0.0135,3.9755,-0.0006,-0.5637,-0.0039,0.0159,-0.0289,-0.003,0.0017,-0.0009,2.7175,79.2609,46.8583,142.1314,-2.2832,0.0237,-0.5884,-72.5573,-0.047,0.9573,1.9818,,,,Theocracy,,,,,absence of drug laws|punitive income tax rates,restrictive gun laws
6,#6 Appointment of Spiritual Advisor,3,"3. the nation's official head of religious affairs is an atheist used to be ""the government is avowedly atheist""",-0.005,0.0112,-0.0009,0.0003,0.0575,-0.0009,7.159,0.0036,-0.0068,6.779,7.1677,10.778,10.4817,8.805,18.5685,16.6287,7.1135,6.5825,10.9901,15.1354,6.816,8.8443,11.9926,8.8648,19.3756,34.1824,-0.3673,11.3646,13.2141,18.1716,13.4246,-275.1627,-0.0188,-0.0012,0.0018,-0.0015,0.0022,,-0.0015,-0.0005,-0.0222,-0.1801,-0.3313,-0.0061,-0.0024,14.5551,-0.2169,0.0112,-1.1937,3.8423,0.0002,-0.0,-1.748,0.1021,8.4341,-3.6278,0.0074,0.0023,0.0004,6.7229,-0.2784,0.2761,0.0024,0.0003,-0.0033,0.0031,-0.0012,-407.5394,-233.7206,-817.5005,14.6272,0.1002,4.4164,388.6706,0.0026,-0.0015,-0.0465,-0.001,,,,,,,,irreverence towards religion,punitive income tax rates|restrictive gun laws
7,#7 Animal Liberation Front Strikes Again,1,1. Animal Liberationists are regularly arrested,0.003,0.6443,-1.6471,0.5722,0.9528,-0.5338,0.766,-0.006,-0.0137,-7.7799,-8.5365,-9.7143,-23.298,41.5498,1.4328,9.1921,883.7362,41.7614,-12.1521,-13.4352,-5.3835,-10.7377,-12.0619,-9.4551,-15.3594,-8.3137,0.0002,4.5906,-0.2412,-3.1558,-4.6474,0.0253,-0.7983,-0.465,-0.4627,-0.3505,0.3786,0.0007,-0.2638,0.0002,-0.9959,0.0534,-0.7334,-0.349,-0.0418,-4.4381,-0.5453,0.9626,-0.4256,0.8977,0.5183,-0.0817,-0.2675,0.1647,1.7902,4.0622,-0.0015,-0.003,0.2795,,-0.042,-0.2558,0.0418,0.0331,-0.0062,-0.0046,0.0018,821.7189,-82.4828,4747.5896,-1.6331,-0.0234,2.6676,813.8228,-0.0017,0.4263,-7.36,0.0,-0.0005,,,No Dissent may add or remove policy: Public Protest,,,,deadly medical pandemics|exploding hoverboards|restrictive gun laws|spontaneously combusting cars,absence of drug laws|punitive income tax rates|stringent health and safety legislation leads to #1840
7,#7 Animal Liberation Front Strikes Again,2,2. meat-eating is frowned upon,-0.0019,-0.8565,-0.0034,-0.3132,-0.1709,0.5072,0.0185,0.0029,-0.0068,-6.9249,-3.3352,-3.3194,0.3043,-4.2375,-6.0978,-32.2351,-584.2057,-1.7874,-2.9034,-2.3755,-4.2742,-2.6271,-1.3989,-2.2351,-20.1871,-42.4585,0.0006,-4.5383,-1.9219,-1.3398,1.1087,0.0001,0.8158,0.4158,-0.8371,-0.0011,0.0008,0.0005,0.0014,,0.0101,0.1577,0.7865,0.0612,-0.0166,-1.9974,0.9436,-0.9133,0.3437,-0.6456,0.0004,-0.0001,14.0152,-0.2138,-1.841,6.0153,-0.0082,-0.0047,-0.0518,-0.0009,0.1257,-0.2316,0.0166,-0.1459,0.0104,-0.0127,0.0051,-702.9062,2.4238,-3032.5049,-2.036,-0.1333,-1.4773,-657.4013,0.0001,-0.5261,7.3958,0.0004,0.0009,,,,,,,punitive income tax rates|stringent health and safety legislation,exploding hoverboards|spontaneously combusting cars
7,#7 Animal Liberation Front Strikes Again,3,3. vegetarianism is compulsory,-2.5682,-1.0956,-0.0107,-1.1755,-2.2877,1.6643,12.855,2.6465,-5.23,18.1045,127.6012,38.6211,29.1953,83.3092,-1054.2918,-34.6085,-1867.2512,-46.8421,20.5626,54.8428,12.273,31.4581,40.5725,18.7364,-4.9732,22.1852,,11.3039,24.2958,32.7301,34.6823,,1.3086,1.4019,-1.85,-0.4907,0.4815,-0.0042,0.6022,,11.912,0.5326,1.266,0.8681,-0.2724,28.5375,4.3338,-1.515,1.3559,-2.13,0.0029,-0.0005,92.7595,-0.4075,11.5064,67.5443,-0.0707,-6.6814,-2.473,,75.4722,-4.8982,0.2724,0.0701,-0.0015,-0.002,,-1710.552,-260.6808,-7456.3067,28.2322,-0.3637,2.9819,-1615.887,0.103,-4.187,7.4533,,-0.0053,Vegetarianism,Cannibalism,,,compulsory vegetarianism,,restrictive gun laws|stringent health and safety legislation,"absence of drug laws|barren, inhospitable landscape|deadly medical pandemics|hatred of cheese may add or remove notability: punitive income tax rates|spontaneously combusting cars"
7,#7 Animal Liberation Front Strikes Again,4,4. meat is a luxury afforded only to the wealthy,0.0017,-3.6732,-0.0053,-1.4807,-0.224,0.541,-6.733,-0.0013,0.0026,-44.7695,-44.4366,-57.4022,-59.398,-10.6734,-60.1108,-99.8534,-882.2221,-29.7473,-48.1186,-47.5941,-54.8088,-49.0435,-44.4761,-56.3918,-80.0816,-202.0095,-0.0988,-31.3753,-23.6156,-25.3671,-189.7903,,1.5752,0.4712,-1.4216,-0.0022,-0.0012,,0.0025,,-0.0034,0.2987,1.5178,-0.011,-0.1725,-33.3637,1.1379,-1.9618,0.1624,-0.2514,0.0105,-0.0015,41.6109,-0.4113,-13.795,9.6432,-0.0164,0.1315,-0.1067,,-0.0818,-0.9268,0.1725,-0.8437,-0.0069,0.0048,,-2219.8157,-151.3665,-10515.3106,-31.0936,-0.2462,-6.1029,-1760.8692,0.0013,-1.0405,11.9639,,,,,,,,,punitive income tax rates|stringent health and safety legislation leads to #1840,exploding hoverboards|spontaneously combusting cars
8,#8 Nudists Demand Time in Sun,1,1. citizens can be frequently spotted going about their business stark naked,5.0242,0.0107,0.006,0.0019,0.0433,-0.001,-0.7641,-4.8446,70.6233,-2.1263,-3.7865,-4.8148,-6.8533,-3.7274,-4.6705,-6.1566,-4.7019,-3.0684,-4.1541,-3.3597,-3.5571,-3.7943,-3.6096,-4.4531,7.9937,-13.0992,0.0007,-2.2546,-2.1727,-2.5702,-1.236,0.1494,-0.0149,-0.0004,1.245,0.9611,-0.9929,-0.0007,0.0007,0.0002,-0.01,-0.1294,-0.3489,-0.0221,-0.2192,-2.8312,-2.6913,0.0097,-0.1167,0.1655,0.0063,-0.0012,-134.6619,0.0111,-1.2356,2.9101,0.0438,7.7316,-0.0358,-0.0007,-0.1292,-0.0169,0.2192,-0.0046,0.0057,-0.0011,0.0023,136.8905,74.6237,270.608,-2.9429,0.0928,-0.4383,141.0769,-0.1547,0.0028,2.5039,,,,Prudism,,,,,absence of drug laws,punitive income tax rates|restrictive gun laws
8,#8 Nudists Demand Time in Sun,2,2. public nudity is compulsory,-5.5941,-0.0034,,-0.0009,0.6357,-0.0062,12.6491,5.2832,1115.1639,-34.1635,-40.0246,-44.6668,-39.6999,101.1516,0.2671,-30.9234,-31.8395,10.1139,-42.2199,-32.5552,10.826,-42.6291,-408.497,-39.8608,-54.2057,-109.3283,0.0005,25.6615,29.9619,42.4949,24.7489,0.0004,0.0039,-0.4897,-0.0012,-1.1286,1.3644,,-0.297,-0.4566,-1.9726,0.1548,0.4316,-0.3384,0.2598,42.5726,3.1485,-0.0042,1.0701,-1.4066,0.0015,-0.0007,148.5652,-0.3102,18.8866,-16.7734,-0.0587,-8.295,0.2962,-0.0018,1.2359,0.7725,-0.2598,-0.1138,0.0112,-2.2356,,-1091.1901,-518.8223,-2504.3674,34.7911,-0.1115,7.262,-1204.848,0.1672,-0.3881,-3.4832,,,Nudism,Prudism,,,enforced nudity,,deadly medical pandemics|hatred of cheese|punitive income tax rates|restrictive gun laws,"barren, inhospitable landscape"
